time,open,high,low,close,Volume,Volume MA,NV,USDCNH_close,USDJPY_close,USDGBP_close,USDCAD_close,USDCHF_close,USDNZD_close,EURUSD_close,EURCNH_close,EURJPY_close,EURGBP_close,EURCAD_close,EURCHF_close,EURNZD_close,AUDUSD_close,AUDCNH_close,AUDJPY_close,AUDGBP_close,AUDEUR_close,AUDCAD_close,AUDCHF_close,AUDNZD_close,SPX500_close,EURO50_close,AUS200_close,XAUUSD_close,WTIOIL_close
1698355740,0.63206,0.63206,0.63206,0.63206,9,40.05,0,7.32302,150.385,0.824538258575198,1.38234,0.89862,1.7184197412059872,1.05607,7.73211,158.811,0.87066,1.46006,0.94916,1.8143,0.63206,4.62773,95.044,0.5212405525149857,0.5985909169814257,0.87381,0.56801,1.08571,4140.96,4035.01,6798.93,1984.83,83.481
1698355800,0.63206,0.63206,0.63206,0.63206,22,40.25,0,7.32341,150.385,0.8245722531436818,1.38251,0.89892,1.7185083347654238,1.05608,7.73139,158.811,0.8707,1.46015,0.94944,1.81459,0.63206,4.6276,95.038,0.5211916525944921,0.5985515053570359,0.87382,0.56814,1.08586,4140.96,4035.01,6798.93,1984.83,83.481
1698355860,0.63206,0.63206,0.63197,0.632,43,41.4,-43,7.32341,150.385,0.824538258575198,1.38253,0.8985,1.7184197412059872,1.0561,7.73205,158.813,0.87071,1.46006,0.94899,1.81406,0.632,4.62616,95.05,0.5212921790534377,0.5986518360651812,0.87388,0.56795,1.08581,4140.96,4035.01,6798.93,1984.83,83.481
1698355920,0.632,0.63202,0.63197,0.63198,43,42.15,-43,7.3234,150.384,0.8247082594532185,1.3825,0.89848,1.7183902120493522,1.05624,7.73333,158.833,0.87095,1.46043,0.94906,1.81419,0.63198,4.62616,95.045,0.5213546880213547,0.5984977705958046,0.87393,0.56791,1.08571,4140.96,4035.01,6798.93,1984.83,83.481
1698355980,0.63198,0.63201,0.63198,0.63199,26,42.4,26,7.32341,150.384,0.8247082594532185,1.38253,0.89871,1.7180654582939612,1.05622,7.73225,158.828,0.87093,1.4604,0.94933,1.81405,0.63199,4.62616,95.047,0.5213873073473899,0.5985765848811526,0.87397,0.56808,1.08566,4140.96,4035.01,6798.93,1984.83,83.481
1698356040,0.63199,0.63201,0.63198,0.632,22,42.6,22,7.32341,150.384,0.8245926512302922,1.38254,0.89871,1.7180359413118922,1.05614,7.73227,158.813,0.87076,1.46037,0.94925,1.81422,0.632,4.62616,95.048,0.5213003315470108,0.5985909169814257,0.87398,0.56809,1.08566,4140.96,4035.01,6798.93,1984.83,83.481
1698356100,0.632,0.632,0.63197,0.632,34,43.25,0,7.32341,150.384,0.8246198502490352,1.38266,0.89883,1.7183902120493522,1.05616,7.73174,158.812,0.87084,1.46036,0.94933,1.814,0.632,4.62537,95.046,0.5213519699284184,0.5986088330719408,0.87399,0.56813,1.08575,4140.96,4035.01,6798.93,1984.83,83.481
1698356160,0.632,0.6321,0.63199,0.63207,11,42.7,11,7.3233,150.383,0.8246946568033187,1.38265,0.89883,1.7183902120493522,1.05616,7.73223,158.812,0.87095,1.46032,0.94934,1.81401,0.63207,4.62797,95.052,0.5214389629621905,0.5986554199268443,0.87403,0.56815,1.08582,4140.96,4035.01,6798.93,1984.83,83.481
1698356220,0.63207,0.6321,0.63207,0.6321,22,43.05,22,7.32315,150.381,0.8246946568033187,1.38273,0.89885,1.7183902120493522,1.05615,7.73214,158.817,0.87097,1.46033,0.9493499999999999,1.81401,0.6321,4.6279,95.058,0.5214770315441457,0.5987091830014488,0.87411,0.56821,1.0859,4140.96,4035.01,6798.93,1984.83,83.481
1698356280,0.6321,0.63211,0.6321,0.63211,8,41.9,8,7.32315,150.381,0.8246810546021326,1.38274,0.8988,1.7182425814876543,1.05616,7.73204,158.819,0.87097,1.46036,0.94936,1.81396,0.63211,4.62788,95.061,0.5214688735229395,0.5986948452373826,0.87411,0.56819,1.08584,4140.96,4035.01,6798.93,1984.83,83.481
